subject,Username,Condition,1_code,1_notes,2_code,exclude?,2_notes,3_code,exclude?,3_notes,total score
64,8124474a,DMT-antiyoked-with-tutorial,0,-,0,N,,0,N,-,0
65,70001f6b,DMT-antiyoked-with-tutorial,2,Large bias towards red in phase 1,2,Y,,1,N,bias for red in phase 1,5
66,8cb5b068,DMT-antiyoked-with-tutorial,0,-,0,N,,0,N,-,0
67,3524746e,DMT-antiyoked-with-tutorial,0,-,0,N,,0,N,-,0
68,ec7c23fe,DMT-antiyoked-with-tutorial,,Complete bias towards red in phase 2,2,Y,large bias for red in phase 2,2,Y,only red in phase 2,4
69,95ae0328,DMT-antiyoked-with-tutorial,2,,0,N,,0,N,-,2
70,447955b2,DMT-antiyoked-with-tutorial,0,-,0,N,,0,N,-,0
71,1ad791ef,DMT-antiyoked-with-tutorial,0,-,0,N,,0,N,-,0
72,36600b0b,DMT-antiyoked-with-tutorial,2,Large bias against green in phase 2,0,N,,0,N,-,2
73,b2849d4e,DMT-antiyoked-with-tutorial,0,-,1,N,slight bias for red,1,N,bias for red,2
74,cd3b7d21,DMT-antiyoked-with-tutorial,2,Large bias towards red in phase 1 and 2,0,N,,0,N,-,2
75,58f557dc,DMT-antiyoked-with-tutorial,0,-,0,N,,1,N,low RTs,1
76,cfa1f2b3,DMT-antiyoked-with-tutorial,1,Low RTs,1,N,a few impossible RTs,1,N,low blue count in phase 2,3
77,a858bc9b,DMT-antiyoked-with-tutorial,0,-,0,N,,2,Y,many low RTs and NRs,2
78,75d1bdd1,DMT-antiyoked-with-tutorial,2,Large number of NRs,1,Y,a few NRs,0,N,-,3
79,e260c0bb,DMT-antiyoked-with-tutorial,0,-,0,N,,0,N,-,0
80,699bcdff,DMT-antiyoked-with-tutorial,0,-,0,N,,0,N,-,0
81,0a1d6bcc,DMT-antiyoked-with-tutorial,0,-,0,N,,0,N,-,0
82,c7217632,DMT-antiyoked-with-tutorial,1,Large bias against green in phase 2,0,N,,0,N,-,1
83,e72423f6,DMT-antiyoked-with-tutorial,0,-,0,N,,0,N,-,0
84,edbb0781,DMT-antiyoked-with-tutorial,1,Bias against green in Phase 2,0,N,,0,N,-,1
85,bf490b60,DMT-antiyoked-with-tutorial,0,-,0,N,,0,N,-,0
86,4de028fd,DMT-antiyoked-with-tutorial,2,Large bias against blue in phase 2,1,N,bias against blue in phase 2,0,N,-,3
87,6789dc66,DMT-antiyoked-with-tutorial,0,-,2,Y,low RTs,2,Y,low RTs,4
88,6c2f96a9,DMT-antiyoked-with-tutorial,1,Few weird RTs,0,N,,0,N,-,1
89,ee0c7bab,DMT-antiyoked-with-tutorial,0,-,0,N,,0,N,-,0
90,3732ef03,DMT-antiyoked-with-tutorial,0,-,0,N,,0,N,-,0
91,16a88057,DMT-antiyoked-with-tutorial,0,-,0,N,,0,N,-,0
92,2fb78153,DMT-antiyoked-with-tutorial,1,Large bias towards green in phase 1 and bias against red in phase 2,0,N,,0,N,-,1
93,4c8b9808,DMT-antiyoked-with-tutorial,0,-,1,N,impossible RTs,2,Y,low RTs,3
94,118ed071,DMT-antiyoked-with-tutorial,0,-,0,N,,0,N,-,0
95,b2308fd1,DMT-antiyoked-with-tutorial,0,-,2,Y,bias for green in phase 1,2,Y,bias for green in phase 1,4
96,7719f5e8,DMT-antiyoked-with-tutorial,2,Large bias towards green in phase 1,0,N,,0,N,-,2
97,1ca26713,DMT-antiyoked-with-tutorial,0,-,0,N,,0,N,-,0
98,71a56974,DMT-antiyoked-with-tutorial,0,-,0,N,,0,N,-,0
99,9a344e28,DMT-antiyoked-with-tutorial,0,-,0,N,,0,N,-,0
100,f140ae7c,DMT-antiyoked-with-tutorial,0,-,0,N,,0,N,-,0
101,92ea3a31,DMT-antiyoked-with-tutorial,0,-,0,N,,0,N,-,0
102,0d555d84,DMT-antiyoked-with-tutorial,0,-,0,N,,0,N,-,0
103,cc9ea5f0,DMT-antiyoked-with-tutorial,0,-,0,N,,0,N,-,0
104,d45790cd,DMT-antiyoked-with-tutorial,0,-,0,N,,0,N,-,0
105,c31b05aa,DMT-antiyoked-with-tutorial,0,-,0,N,,0,N,-,0
106,96b7c894,DMT-antiyoked-with-tutorial,0,-,0,N,,0,N,-,0
107,a207f0f8,DMT-antiyoked-with-tutorial,0,-,0,N,,0,N,-,0
108,67a912f3,DMT-antiyoked-with-tutorial,0,-,2,Y,impossible RTs,2,Y,low RTs,4
109,6991f35f,DMT-antiyoked-with-tutorial,0,-,0,N,,0,N,-,0
110,daa080a8,DMT-antiyoked-with-tutorial,0,-,0,N,,0,N,-,0
111,bdeecb54,DMT-antiyoked-with-tutorial,0,-,0,N,,0,N,-,0
112,de410da8,DMT-antiyoked-with-tutorial,0,-,0,N,,0,N,-,0
113,ce858da9,DMT-antiyoked-with-tutorial,0,-,0,N,,0,N,-,0
114,44d4cee3,DMT-antiyoked-with-tutorial,0,-,0,N,,0,N,-,0
115,5747ef5b,DMT-antiyoked-with-tutorial,0,-,0,N,,0,N,-,0
116,27fc9d3c,DMT-antiyoked-with-tutorial,0,-,0,N,,0,N,-,0
117,4028de2e,DMT-antiyoked-with-tutorial,0,-,0,N,,0,N,-,0
118,7e253526,DMT-antiyoked-with-tutorial,0,-,0,N,,0,N,-,0
119,240e386e,DMT-antiyoked-with-tutorial,0,-,0,N,,0,N,-,0
120,c01e97d6,DMT-antiyoked-with-tutorial,0,-,0,N,,0,N,-,0
121,99fd931f,DMT-antiyoked-with-tutorial,0,-,2,Y,impossible RTs,2,Y,low RTs,4
122,6413b882,DMT-antiyoked-with-tutorial,0,-,0,N,,0,N,-,0
123,967b7695,DMT-antiyoked-with-tutorial,0,-,0,N,,0,N,-,0
124,a831051e,DMT-antiyoked-with-tutorial,0,-,0,N,,0,N,-,0
125,ad148bb5,DMT-antiyoked-with-tutorial,0,-,1,N,bias for red in phase 2,1,N,bias for red in phase 2,2
126,024a422b,DMT-antiyoked-with-tutorial,1,Large bias against blue in phase 2,1,N,,0,N,-,2
127,0b8ba1d6,DMT-antiyoked-with-tutorial,0,-,1,N,large bias for red and blue in phase 2,1,N,bias for red and blue in phase 2,2
128,7a1a6372,DMT-antiyoked-with-tutorial,0,-,2,Y,large bias for red in phase 2,2,Y,"bias for red, no green, in phase 2",4
